NSPHCDA Data Portal — Project Workplan & Tracker,,,,,,,
Client: FACT Foundation  |  Lead Agency: NSPHCDA  |  Funded by: Umbrella Fund,,,,Delivery Partner: Zerasage Technologies  |  Project Start: 8 June 2026  |  End: 9 October 2026,,,
"STATUS KEY:   ✅ Completed = task done on or before deadline   🔵 In Progress = currently being worked on   ⬜ Not Started = scheduled but not yet begun   ⚠️ At Risk = behind pace but recoverable   🔴 Overdue = past deadline, not done",,,,,,,
#,Week,Dates,Task / Activity,Output / Deliverable,Owner,Status,Notes / Comments
  MILESTONE 1 — Inception & Architecture,,,,,,,
"  ToR Deliverables: (1) Project Inception & Framework Report  (2) Architectural Framework Report  (3) Approved Wireframes / Prototype v1  (4) Dev Environment Live on Staging  |  Budget: ₦1,750,000 | Weeks 1–4 | 8 Jun – 3 Jul 2026",,,,,,,
  WEEK 1 — Architecture & Prototype Build,,,,,,,
1.1,Week 1,8–12 Jun,"Produce system architecture document covering all four dimensions: Business, Functional, Technical, and Governance architecture",Architecture document,Zerasage Lead,Completed,Delivered Week 1
1.2,Week 1,8–12 Jun,Build and deploy Prototype v1 to Vercel staging environment,Live prototype URL: nsgdp-frontend.vercel.app,Zerasage Frontend,Completed,Delivered Week 1
1.3,Week 1,8–12 Jun,Build and publish architecture diagram page at /architecture route,Architecture diagram page live,Zerasage Frontend,Completed,Delivered Week 1
  WEEK 2 — Prototype Review & Brand Updates,,,,,,,
1.4,Week 2,15–19 Jun,Distribute prototype link and feedback form to FACT Foundation and identified stakeholders for review,Prototype shared; feedback form distributed,FACT Foundation,Completed,Feedback form: forms.gle/dzvRXFj7gwZs96im9
1.5,Week 2,15–19 Jun,"Apply brand updates to prototype: NSPHCDA logo, NSPHCDA Data Portal naming, FACT Foundation branding, colour scheme update to match NSPHCDA seal",Updated prototype deployed,Zerasage Frontend,Completed,Per Document 1 Cursor prompt
1.6,Week 2,19 Jun,Thursday review meeting with FACT Foundation — prototype walkthrough and feedback consolidation,Agreed revision list or sign-off,Both teams,Completed,Meeting to be confirmed
"  WEEK 3 — Stakeholder Workshop, Data Audit & Environment Setup",,,,,,,
1.7,Week 3,22–26 Jun,Apply any outstanding revisions from Thursday 19 Jun review meeting,Final revised prototype,Zerasage Frontend,Completed,
1.8,Week 3,22–26 Jun,"Conduct stakeholder workshop with government health planners, M&E officers, and data managers to validate use cases and requirements",Workshop notes / use case register,Both teams,Completed,In-person — Abuja or Niger State. Date TBC with FACT.
1.9,Week 3,22–26 Jun,"Conduct data inventory audit: classify all existing FACT/NSPHCDA datasets by format, sensitivity level, spatial resolution, and update frequency",Data inventory spreadsheet,Zerasage Lead + FACT,In Progress,
1.10,Week 3,22–26 Jun,"Provision staging server infrastructure: hosting, domain, SSL certificate, CI/CD pipeline (GitHub Actions), Docker environment",Staging environment live,Zerasage DevOps,Not Started,Galaxy Backbone or approved Nigerian hosting
1.11,Week 3,22–26 Jun,Draft Project Inception & Framework Report,Draft inception report,Zerasage Lead,In Progress,
"  WEEK 4 — Wireframes, Reports & Milestone 1 Sign-Off",,,,,,,
1.12,Week 4,29 Jun–3 Jul,"Complete Figma wireframes for all portal pages (Home, About, Data Portal, Submit Data, Analytics, GIS Mapping x2, Campaigns, Tools & Learning, Login, Register, Admin Console)",Figma wireframe file,Zerasage UI/UX,In Progress,
1.13,Week 4,29 Jun–3 Jul,"Finalise Architectural Framework Report (four-dimension architecture with diagrams, stack decisions, security model, deployment plan)",Architectural Framework Report,Zerasage Lead,In Progress,
1.14,Week 4,29 Jun–3 Jul,Finalise Project Inception & Framework Report,Project Inception & Framework Report,Zerasage Lead,Not Started,
1.15,Week 4,3 Jul,Send Fortnightly Sprint Report #1 to FACT Foundation,Sprint Report #1,Zerasage Lead,Not Started,
1.16,Week 4,3 Jul *,Submit all Milestone 1 deliverables to FACT Foundation for formal sign-off - Requesting early to acquire and setup tools.,M1 sign-off request submitted,Zerasage Lead,Not Started,"Triggers ₦1,750,000 invoice"
  MILESTONE 2 — Core Repository Build,,,,,,,
"  ToR Deliverables: (1) First Functional MVP on Staging  (2) User Testing Report #1 (usability findings and design revisions)  |  Budget: ₦2,000,000 | Weeks 5–8 | 6 Jul – 1 Aug 2026",,,,,,,
  WEEK 5 — Backend Foundation & Auth System,,,,,,,
2.1,Week 5,6–10 Jul,"Backend: Set up PostgreSQL 15 + PostGIS database schema — users, roles, datasets, uploads, downloads, audit_log, campaigns, facilities tables",Database schema live on staging,Zerasage Backend,Not Started,
2.2,Week 5,6–10 Jul,"Backend: Implement user authentication — JWT token issuance, RBAC middleware (5 roles: Public / Registered / Contributor / Admin / Super Admin), password hashing (Argon2id), 2FA via Termii SMS OTP",Auth system live on staging,Zerasage Backend,Not Started,
2.3,Week 5,6–10 Jul,Frontend: Build Login page (3-tier access level selector) and Register page with access level dropdown,Auth UI deployed to staging,Zerasage Frontend,Not Started,
2.4,Week 5,6–10 Jul,DevOps: Docker containerisation of all services; GitHub Actions CI/CD pipeline configured for auto-deploy to staging on push to main branch,CI/CD pipeline live,Zerasage DevOps,Not Started,
"  WEEK 6 — Dataset Upload, Data Portal UI & Approval Workflow",,,,,,,
2.5,Week 6,13–17 Jul,"Backend: Build dataset upload API — file validation, S3-compatible object storage, ClamAV virus scan before storage, metadata form ingestion",Upload pipeline working on staging,Zerasage Backend,Not Started,
2.6,Week 6,13–17 Jul,"Frontend: Build Data Portal page — 4 category filter pills, search bar, dataset card grid (3 columns), dataset detail info modal with full metadata",Data Portal UI complete,Zerasage Frontend,Not Started,
2.7,Week 6,13–17 Jul,"Backend: Build 3-step dataset approval workflow — Initial Review queue, Quality Assessment stage, Approval & Publication to live portal",Approval workflow live,Zerasage Backend,Not Started,
2.8,Week 6,13–17 Jul,"Frontend + Backend: Admin Console — Review Queue (pending submissions), User Management (create/disable/role changes), Audit Logs (searchable, exportable)",Admin Console live on staging,Zerasage Full-stack,Not Started,
"  WEEK 7 — Supporting Pages, Notifications & Email System",,,,,,,
2.9,Week 7,20–24 Jul,"Backend: Implement immutable audit logging — record all CRUD events (upload, download, edit, approve, reject, login, logout) with actor ID, timestamp, and IP address","Audit log live, exportable as CSV",Zerasage Backend,Not Started,
2.10,Week 7,20–24 Jul,Frontend: Build Submit Data page (two-column layout — form + requirements + 3-step review process),Submit Data page live,Zerasage Frontend,Not Started,
2.11,Week 7,20–24 Jul,"Frontend: Build About page (mission/vision, partners, what we do)",About page live,Zerasage Frontend,Not Started,
2.12,Week 7,20–24 Jul,"Backend: Email notification system — submission confirmed (to contributor), dataset approved, dataset rejected with reason, account activated (to new Partner/Admin)",Email notifications working,Zerasage Backend,Not Started,SendGrid or Brevo
2.13,Week 7,24 Jul,Send Fortnightly Sprint Report #2 to FACT Foundation,Sprint Report #2,Zerasage Lead,Not Started,
  WEEK 8 — Integration Testing & User Testing Session #1,,,,,,,
2.14,Week 8,27–29 Jul,Full MVP integration testing on staging: run end-to-end test of all flows (register → upload → approve → download → audit log),Internal test report,Zerasage Full-stack,Not Started,
2.15,Week 8,29–31 Jul,"Conduct Usability Testing Session #1 with government stakeholders (health planners, M&E officers, data managers) — structured walkthrough of staging MVP","Usability session conducted (in-person, Abuja)",Both teams,Not Started,First on-site visit — travel covered by FACT
